,source,reference,translation,z-score,avg-score,annotators
0,"""In the GISS model's simulation, Venus' slow spin exposes its dayside to the sun for almost two months at a time,"" GISS scientist Anthony Del Genio explained in a news release.",gsis anthonydelgenio giss,,-1.17186717606668,50.0,1
1,"Ai Yanhan of China in the Women's 4 x 200m Freestyle Relay Final was described as: 'That little 14-year-old from China dropped the ball, baby.'",x mfreestreywt,x,-2.2554026925166,26.5,2
2,"Then came 2012, when nothing much went right for her and her teammates.",,,-2.50899611126019,21.0,1
3,"Since last year, Guodian Group has exported a total of 163 sets of wind power projects from Lianyungang Port to South Africa.",goudiangroup,,-2.41678032262616,23.0,1
4,"Some alleged that the Kempinski hotel simply ""caved in"" to the alleged demands of Arabic customers.",kempinski,,-1.4896755428958501,45.0,7
5,"He recalled that after Zhang Binbin came into the Xiamen shooting team more than a year later, the team carried out a long shot of gun training, requiring players not to move for half an hour.",binbin,,-0.895219810164578,56.0,1
6,"As never before or since, home economists - among them Louise Stanley, chief of the federal Bureau of Home Economics from 1923 to 1943 - drove the country's eating habits.",,,-2.32456453399212,25.0,1
7,"For old friends, Han Zhiyuan suggested them better not stay up late to watch games, particularly those with cardiovascular disease.",,,-1.12575928174967,51.0,1
8,"""He found an apartment, he was dating a girl,"" Louis Galicia told KGO.",,loui galicia kgo frank,-0.0321133168011675,63.0,2
9,"Fiji started magnificently, bouncing off GB tackles for fun.",,,-1.84043164366344,35.5,2
10,Reid says Clinton will stick with Garland as Supreme Court nominee if elected,,,-0.24689287517920602,58.0,2
11,It is reported that the flags are expected to arrive in Rio on the 11th. Then the Olympic Organizing Committee will send the flags to various Olympic venues after receiving the flag. The whole process will be under the supervision of the Chinese embassy in Brazil.,,,0.34969333639489697,83.0,1
12,"Other observers share her view, a complaint that Snapchat has left largely unanswered.",spanchat,snapchat,0.20389660398373105,75.5,2
13,You represent the CBC and Canada and make us all sound like a bunch of racists. #disgusted.,cbc,cbc,-1.44038748658048,26.6666666666667,3
14,Portland smelter's future in doubt with axing of power contract,,,-0.3419250783603669,68.0,1
15,"""In terms of politics, Africa is relatively lagging behind, but there are many African countries. So Japan has always regarded it as the so-called 'big ticket field,'"" said Yang Bojiang, an expert for Japanese issues.",,,-0.480248761311419,65.0,1
16,"According to informed sources, recently, Suning executives and Apple frequently meet, with the purpose to prepare adequate supply.",sune,,-2.69342768852826,17.0,1
17,"""For the past three years, I have carried out my duties as head coach and vice president of hockey operations for the Colorado Avalanche with energy, passion and determination,"" the 50-year-old Roy said in the statement.",alavanch,,0.165261759126827,79.0,1
18,Adequate supply and a variety of concessions will alleviate the pressure of iPhone7 buying. Suning's logistics will change such good feeling into more intuitive sense of experience.,phone sune,iphon,-0.204125994442432,77.3333333333333,3
19,"While Biles insisted she's never looked ahead during her long run at the top, that's not exactly true.",,,-2.001809273773,32.0,1
20,Woman run over on Swiss motorway in apparent suicide,,,-2.22863797881706,3.5,2
21,"Although Russia and the West did not reach an agreement on the cooperation against the extremist forces of Syria, Russia would strengthen cooperation with Syria, Iran and Iraq in this regard.",,,0.534124913662968,87.0,1
22,"Greenland sharks are also known as small head sleeping sharks, widely distributed in Greenland and the North Atlantic waters around Iceland. It has the length of 4 to 5 meters in their adult age.",,,-0.3419250783603669,68.0,1
23,"No matter when the 2017-18 season kicks off, James is within the contract.",,,0.481084201943725,72.5,2
24,"Zhushuihe Channel Upgrade Renovation Project is the first project adopting the mode of ""government + market"" for the infrastructure construction of river and ports within Shandong province. The government accounts for the major part of investment while social fund supplements the funding gap.",zhuhashi,,0.30358544207788,82.0,1
25,"China's capacity utilization in recent years is higher than the global average, but also higher than that of the United States and Europe and other countries and regions.",,,0.2805314949193711,81.5,2
26,"Shanghai police captured more than 3,400 thieves and combated 157 ""robbery fraud"" gangs in 4 months",,,-0.666545739454024,59.375,8
27,"He also said that if the extremist forces were not hit, these forces will be extended to Russia.",,,0.34969333639489697,83.0,1
28,The inflation rate since the beginning of the year (July 2016 compared to December 2015) has been -0.2% and the annual inflation in July 2016 compared to July 2015 was -0.2%.,,,-1.5868382249198505,41.0,2
29,"According to the forecast of Ministry of Trade and Economic Development, the country's economic growth will reach 7%, while the country's inflation is basically above this level.",,,0.580232807979985,88.0,1
30,"So when it pushed a lens to some users this week that gave them slanted eyes, distorted teeth and puffy cheeks, some critics called it a racist caricature of Asian people - ""yellowface.""",,,-0.710788232896507,60.0,1
31,I watched the performance of Marissa Jimenez Kachie accompanying her daughter in the Peking opera performance 15 years ago.,,,-1.12575928174967,51.0,1
32,"On the current day before the study, the Chinese tourist police also went to the brigade station of Moscow city police to communicate with their Russian counterparts.",,,-0.111385606775279,73.0,1
33,"Oh, yes, James has just brought the first professional sports championship trophy in Cleveland in the past 52 years.",,,-0.379555393620472,54.6666666666667,3
34,"Quality inspection, treasury, customs and other government departments also take relevant disciplinary measures against the ""blacklist"" parties.",,,0.9260420153576172,95.5,2
35,"""He refuses to do what every other presidential candidate in decades has done and release his tax returns,"" she told the crowd.",,,0.0730459704927917,77.0,1
36,"During the training process of Zhang Binbin, it was the input of this farmer girl that impressed Zhang Yajie most.",binbin,,-1.26408296470072,48.0,1
