,Unnamed: 0,source,reference,translation,avg-score,z-score
0,0,"One local resident who did not wish to be named said: 'It is ridiculous, we have only just seen the last round of these travellers leaving, only to be blighted by another round.",er s paikallinen asukas  joka ei halunnut nime  n  sanoi   se on naurettavaa  olemme juuri n hneet n iden matkustajien viimeisen kierroksen poistuvan  vain toisen kierroksen ,toisen nimett m n  pysyttelev n asukkaan mukaan on naurettavaa  ett  kiertolaiset palasivat n in pian sen j lkeen  kun heid t ajettiin pois ,17.330458,-1.4866571
1,1,"Still, she clings to a chant she's committed to memory since taking to Ferguson's streets a full three years ago.",silti h n takertuu chant h n on sitoutunut muisti sen j lkeen  kun ottaa fergusonin kaduilla t ydet kolme vuotta sitten ,silti h n luottaa edelleen iskulauseeseen  jonka h n oppi ulkoa fergusonin kaduilla kolme vuotta sitten ,57.523643,0.39443466
2,2,"I don't want to be asked, 'What were you doing in the face of so much death ... why didn't you say what was going on?'""",en halua  ett  minulta kysyt  n   mit  te teitte niin suuren kuoleman edess     miksi ette sanoneet  mit  oli tekeill   ,en halua  ett  kenenk  n tarvitsee kysy  minulta  miss  olin  kun t  ll  kylvettiin kuolemaa   miksi en kertonut  mit  oli meneill  n  ,60.37551,0.5279057
3,3,"""I wouldn't say it was a lie – that's a pretty bold accusation.",en sanoisi  ett  se oli valhe   se on aika rohkea syyt s ,en sanoisi  ett  se oli valhe  se on aika kova syyt s ,52.051605,0.13833638
4,4,Kari Kola took part in the opening ceremony of the Year of Light in 2015 when he illuminated UNESCO's headquarters.,kari kola osallistui valon vuoden avajaisiin vuonna       kun h n valaisi unescon p  majaa ,kari kola oli mukana valon teemavuoden avajaisissa vuonna       jolloin h n valaisi juhlap iv n kunniaksi unescon p  majan ,55.433014,0.29659057
5,5,"""This fight could be on pay-per-view because all the fans have been asking about it,"" Garcia said, later expressing openness to fighting on whatever network offers the best financial package.",t m  taistelu voisi olla palkka per n kemys  koska kaikki fanit ovat kyselleet siit    garcia sanoi  my hemmin ilmaista avoimuutta taistella mik  tahansa verkko tarjoaa parhaan rahoituspaketin ,ottelu voisi olla maksukanavalla  koska fanit ovat pyyt neet sit    garcia sanoi ja ilmoitti my hemmin olevansa valmis ottelemaan kanavalla  joka tarjoaa parhaan palkintopaketin ,13.05621,-1.6866974
6,6,"""I'm a former featherweight,"" Garcia reminded.",olen entinen h yhenpainija   garcia muistutti ,olen entinen h yhensarjalainen   garcia muistutti ,4.421148,-2.0908291
7,7,"""I said n---a, get off my property!""",sanoin n   a  p  st  pois omaisuuteni  ,etk  kuullut  sanoin  ett  poistu mailtani  n   u  ,37.33638,-0.5503547
8,8,"""Hang yourself, jump off a building, stab yourself I don't know there's a lot of ways,"" she said in several messages sent in the two weeks before his death while he was on holiday with his family.",h n sanoi useissa viesteiss   jotka l hetettiin kahden viikon aikana ennen kuolemaansa  kun h n oli lomalla perheens  kanssa ,hirt  itsesi  hypp   katolta  puukota itse si  en min  tied   tapoja on monia   carter kirjoitti monissa viesteiss   joita h n oli l hett nyt roylle t m n kuolemaa edelt neiden kahden viikon aikana  roy oli tuolloin lomalla perheens  kanssa ,51.377663,0.10679501
9,9,"Talking to Russian outlet RSport earlier in the day, Smirnov admitted past problems in Russian anti-doping bodies, but added: ""We have said on numerous occasions, that the report contains controversial positions and regulations.",puhuessaan ven l iselle outlet rsportille aiemmin p iv ll  smirnov my nsi aiemmat ongelmat ven j n antidopingelimiss   mutta lis si   olemme sanoneet useaan otteeseen  ett  mietint  sis lt   ristiriitaisia kantoja ja m  r yksi  ,aiemmin samana p iv n  ven l iselle rsport urheilumedialle puhunut smirnov my nsi  ett  ven j n antidopingelimiss  on ollut ongelmia   olemme sanoneet useita kertoja  ett  raportissa on kiistanalaisia kannanottoja ja s  nn ksi  ,57.100914,0.3746504
10,10,"When asked about the peculiar timing of it all, Dewey-Hagborg said that ""things happen for a reason.""",kun h nelt  kysyttiin kaiken erikoisesta ajoituksesta  dewey hagborg sanoi  ett   asiat tapahtuvat jostain syyst   ,dewey hagborg uskoo  ett   kaikella on tarkoituksensa  ,40.27549,-0.41280067
11,11,"As a result of the crash landing, two people died yesterday.",t rm yksen seurauksena kaksi ihmist  kuoli eilen ,pakkolaskun seurauksena kuoli eilen kaksi ihmist  ,69.34769,0.9478148
12,12,Klitschko lost the two last fights of his career.,klitschko h visi uransa kaksi viimeist  tappelua ,klitshko h visi uransa kaksi viimeist  ottelua ,40.68151,-0.39379838
13,13,"""It's hard to hear those horrible awful words, and deeds ... come out of people that look like you and who do it because they look like you,"" she said.",on vaikea kuulla n it  kauheita sanoja ja tekoja    tulevat ulos ihmisist  jotka n ytt v t sinusta ja jotka tekev t sen  koska he n ytt v t sinusta   h n sanoi ,on vaikea kuunnella kamalia sanoja ja katsella hirveit  tekoja  joita sanovat ja tekev t ihmiset  jotka n ytt v t samalta kuin sin    juuri siksi  ett  he n ytt v t samalta kuin sin    h n sanoo ,63.91327,0.6934772
14,14,"These riches are, however, a source of misery for Papuans, ensuring Indonesia's powerful military maintains a suffocating presence.",n m  rikkaudet aiheuttavat kuitenkin kurjuutta papualaisille  mik  varmistaa  ett  indonesian voimakas armeija pit   yll  tukahduttavaa l sn oloa ,papualaisille n m  rikkaudet tuovat kuitenkin kurjuutta  sill  ne tarkoittavat indonesian vahvan armeijan tukahduttavaa l sn oloa ,65.252785,0.75616825
15,15,Tauru has never experienced anything like this before.,tauru ei ole koskaan aiemmin kokenut vastaavaa ,tauru ei ole aikaisemmin kohdannut moista ,71.03609,1.0268341
16,16,"As tempers grew more heated, an order was sent to the soldiers through internal radio: ""If the masses offer resistance more than three times, shoot them dead,"" it said, according to an official document seen by TIME that has not been released to the local media.",kun tempaus kasvoi kiivaammaksi  sotilaille l hetettiin tilaus sis isen radion kautta   jos massat tarjoavat vastarintaa yli kolme kertaa  ampukaa heid t kuoliaaksi   se sanoi time n n kem n virallisen asiakirjan mukaan  jota ei ole julkaistu paikalliselle medialle ,kun tunnelma kuumeni  sotilaat saivat sis isess  radioj rjestelm ss  k skyn   jos ihmisjoukot tekev t vastarintaa enemm n kuin kolme kertaa  ampukaa heid t kuoliaiksi   tieto perustuu time lehden n kem  n viralliseen asiakirjaan  jota ei ole julkistettu paikallisille tiedotusv lineille ,51.55429,0.11506143
17,17,New results of Sweden's asylum age assessment tests released,ruotsin turvapaikkaik arviointitestien uudet tulokset julki,ruotsin turvapaikanhakijoiden ik testien uuden tulokset julkistettiin,65.517265,0.7685463
18,18,"According to Tommi, they will not receive any insurance compensation, unless they obtain the details of the other car.",tommin mukaan he eiv t saa vakuutuskorvausta  elleiv t he saa toisen auton yksityiskohtia ,ilman toisen auton tietoja perhe ei tommin mukaan saa vakuutuksesta rahoja ,44.256157,-0.22650044
19,19,"One of the criteria mentioned in the list, however, states that Russian anti-doping authorities must publically accept the reported outcomes of the WADA-sanctioned investigation by Canadian lawyer Richard McLaren on alleged state-sponsored doping in Russian sport.",yksi luettelossa mainituista kriteereist  on kuitenkin se  ett  ven j n antidopingviranomaisten on julkisesti hyv ksytt v  kanadalaisen asianajajan richard mclarenin wadan vahvistaman tutkimuksen raportoidut tulokset v itetyst  valtion tukemasta dopingista ven j n urheilussa ,yksi tiekartan kohdista kuitenkin edellytt    ett  ven j n antidopingviranomaiset hyv ksyv t julkisesti wadan m  r  m n  kanadalaisen juristin richard mclarenin tutkimuksen tulokset  mclaren tutkii valtion v itetty  osuutta ven j n urheilun dopingissa ,45.054237,-0.18914926
20,20,So it's really just the importance of drawing on that home support and thriving on the fact that we're back at the Olympic Stadium.,joten se on oikeastaan vain t rke   piirt    ett  kodin tukea ja kukoistaa siit   ett  olemme takaisin olympiastadionilla ,on t rke   nauttia kotiyleis n tuesta ja siit   ett  olemme taas olympiastadionilla ,56.01339,0.32375288
21,21,Iuel was born in Denmark in 1994.,iuel syntyi tanskassa vuonna      ,iuel syntyi tanskassa      ,30.35924,-0.8768937
