,source,reference,translation,z-score,avg-score,annotators
0,"Uchopíte pak zbraň mezi své předloktí a rameno těsně předtím, než jej uhodíte do obličeje volným loktem.",you will then grab the weapon between your forearm and shoulder just befor you hit it in your face with a free elbow,you then grasp the gun between your forearm and shoulder befor hit them in the face with your free elbow,-0.675383349974964,60.0,3
1,"Ale je-li New York změna, pak je to také znovuobjevování.",but if new york is chang then it s also a rediscoveri,but if new york is chang it is also reinvent,-0.829402915149864,44.0,2
2,"Dlouho a intenzivně jsem během léta přemýšlel, jak mohu tým zlepšit, dát mu hloubku, kterou potřebuje, a dostat jej na vyšší úroveň.",i have been think over and over again over the summer how i can improv it give it the depth it need and get it to a higher level,i have thought long and hard over the cours of the summer about how i might improv this team to give it the depth it need and bring it to a higher level,0.803185181074063,96.5,2
3,"Najdou si jiný způsob, jak někde podvádět.",they find anoth way to cheat somewher,they will find anoth way how to defraud other,0.563148643656119,90.5,2
4,"Zpráva o výměně v čele prezidentovy administrativy, kterou nyní povede Ivanovův dosavadní zástupce Vajno, je považována za poměrně překvapivou.",the report on the replac of the presid s administr now head by ivanov s current repres vajno is consid rather surpris,the news of the replac at the top of the presid s offic has come as a surpris ivanov will be replac by his former deputi vajno,0.0215488287010223,74.6666666666667,3
5,"Úřady uvedly, že vydatný déšť a zaplacené cesty si vyžádaly záchranu obyvatel z jejich domovů v okrese Tangipahoa a zrušení výuky v pěti školních okrscích.",offici said heavi rainfal and paid trip requir resid to rescu their home in the tangipahoa district and cancel teach in five school district,heavi rain and street flood prompt the rescu of resid from their home in tangipahoa parish and the cancel of class in five school district author said,-0.8176753720342049,51.6666666666667,3
6,"Všechny ty nahrávky lemují stěny jeho obýváku - na obrázku nahoře (fotku mi poslal e-mailem, nesledoval jsem ho až domů).",all the record are line the wall of his live room the pictur abov the photo sent me by e mail i did not follow him home,these record pictur abov he email me the snap i didn t follow him home line his live room wall,0.287335891636456,76.5,2
7,"Soap Cherie - obchod, který Verb v létě 2014 nahradil - prodává mýdla ve tvaru dortíků.",soap cheri the store that verb replac in the summer of sell soap shape soap,the store that replac the verb in the summer of soap cheri sell soap in the shape of cupcak,-0.8358548599120091,53.0,2
8,Lidé si islám někdy spojují s podřízeným postavením ženy.,peopl sometim associ islam with the subordin status of women,peopl sometim associ islam with the subordin posit of women,1.02779121870753,99.0,3
9,"Znalost cizího jazyka se hodí v každé profesí, u ajťáků je ale nezbytná minimálně slušná angličtina.",knowledg of a foreign languag is appropri in everi profess but at least it is necessari for the english to understand,knowledg of a foreign languag is use in ani profess and it guy need to have at least a decent knowledg of english,0.17391378917150102,88.5,2
10,"Lastimosa navíc při havárii utrží smrtelné rány, a Cooper proto dostane za úkol zprovoznit kapitánova titána.",in addit lastimosa suffer fatal wound in the crash and cooper is task with put captain s titanium into oper,what is more lastimosa is fatal wound in the crash and cooper therefor has to reviv the captain s titan,0.317794085295198,81.5,2
11,"My spolu přitom chodíme na procházky a na nákup a všichni si myslí, jaké máme šťastné manželství.",we all go for walk and shop and everyon think we have a happi marriag,we keep go togeth for walk and shop and everyon think we have a happi marriag,0.785078911485459,98.0,2
12,"Hermannová: Jelikož byl postup ze skupiny náš cíl, tak je to na jednu stranu v pořádku, dobré.",hermann sinc the group s progress was our goal it s okay for one thing good,as our goal was to advanc from the group we can say,-1.42853789547622,26.5,2
13,Společnost Wood Group v letošním roce snížila sazby a vyplatila svým dodavatelům v Severním moři asi o 9 procent méně kvůli negativnímu tržnímu tlaku.,wood group cut rate this year and paid off to it supplier in the north sea about percent less due to negat market pressur,wood group this year cut rate paid to it north sea contractor by about percent becaus of negat market pressur,0.950892015699035,100.0,2
14,"Za jízdu na Anděl, která má 2,5 kilometru, si účtují třeba i šest set korun.",for a kilomet trip to andel they even charg six hundr crown,they charg up to crown for a kilometr ride to and l,0.7326568266114108,91.6666666666667,3
15,"Jeho snoubenka i matka opět jásaly v hledišti, syn Boomer tentokrát poklidně spal se sluchátky na uších.",his fianc and mother cheer again in the auditorium and boomer s son slept with earbud this time,his mother togeth with his fianc e cheer him on while his son boomer slept peac sport a pair of ear defend,-0.6014205663169979,45.5,2
16,Její pozice ve světě módy bude vždy obtížná kvůli její účasti v reality show.,her posit in the fashion world will alway be difficult due to her particip in the realiti show,with her realiti televis histori jenner s posit within the fashion world was alway go to be fraught,0.6557070401583299,96.3333333333333,3
17,"Vím, že mám nějaké problémy s krví, že se musím víc hlídat, když někam poletím.",i know i have some blood problem i have to watch more when i m fli,i know now that i have some problem with my blood and i will have to watch it when i fli somewher in the futur,-0.349534899499825,46.8,5
18,"Jak velvyslanec uvedl, od doby, kdy byly zrušeny mezinárodní sankce proti Íránu, došlo k nárůstu zájmu ze strany ruských firem, které v zemi obchodují.",as the ambassador said sinc intern sanction against iran have been lift there has been an increas in interest from russian compani that trade in the countri,sinc intern sanction against iran were lift there has been a surg in interest from russian firm in do busi in the countri the ambassador said,0.0005052791969913192,77.6666666666667,3
19,Spisovatelé ukázali jinou Malou Stranu.,writer show anoth mal strana,writer show us a differ mal strana,0.689013441193451,96.0,3
20,Od publikování posledních dílů seriálů uběhlo už několik měsíců.,sinc the releas of the last part of the seri has gone on for sever month,it has been sever month sinc you have releas the final episod of your show,-0.209542220648432,79.3333333333333,3
21,"Bratr oběti ale říká, že ho nenapadá, kdo by mu chtěl ublížit, a dodává: „Konečně se mu začalo dařit.“",but the victim s brother say he doe not think who want to hurt him and add he s final succeed,but the victim s brother say he can t think of anyon who would want to hurt him say thing were final go well for him,-0.0304352676392888,84.2,5
22,To je k ničemu.,that s useless,that is useless,0.606374575802491,97.0,2
23,"Průvod, kterého v minulých letech účastnily tisíce lidí, letos uctí minutou ticha památku obětí červnového útoku v nočním klubu v Orlandu, kde útočník zastřelil 49 lidí, převážně homosexuálů.",the parad which has been attend by thousand of peopl in recent year this year will honor the minut s silenc of the victim of a june nightclub attack in orlando where the attack shot peopl most gay,over the past few year thousand of peopl took part in the parad which will hold one minut silenc this year in honour of the victim of the june attack at the nightclub in orlando where an attack shot and kill peopl most gay men,0.7713544849834479,98.6666666666667,3
24,"Pobočka WWL stanice CBS oznámila, že podle stařešiny z Tangipahoa bylo zaplaveno 200 domovů.",the cbs branch wwl branch report that home were flood under the age of tangipaho,cbs affili wwl report that an alderwoman in tangipahoa said home flood,-0.49173107112316494,66.3333333333333,3
25,Kdo přišel s nápadem a jak dlouho trvalo službu spustit?,who came up with the idea and how long did it take the servic to run,whose idea was it and how long did it take to launch the servic,0.0927608059229183,84.3333333333333,3
26,Selhání ve vedení Centcomu sahá až na vrchol organizace.,crash in centcom lead to the top of the organ,the leadership failur at centcom reach to the veri top of the organ,-0.511765522987206,64.3333333333333,3
27,"Tohle jen nejblíž, kdy se olympiáda a zen přiblíží.",this is the closest when the olymp and the zen approach,it is as close to zen as olymp competit get,-1.43332915051252,34.3333333333333,3
28,Zapomeň na vzrušení.,forget the excit,forget the hype,0.111094387377553,84.0,2
29,Úsilí BMA o vyřešení sporů prostřednictvím vyjednávání se setkaly s neochotou zapojit dr a často s ohlušujícím tichem ze strany vlády.,bma s effort to resolv disput through negoti have met reluct to engag with dr and often with deafen silenc from the govern,effort by the bma to resolv the disput through talk have been met with an unwilling to engag and at time deafen silenc from the govern,-0.366080028619148,73.6666666666667,3
