,source,reference,translation,z-score,avg-score,annotators
0,"You can turn yourself into a pineapple, a dog or a character befitting a Roy Lichtenstein painting.",voit muuttaa itsesi ananasta koirasta tai roy lichtensteinin maalauksesta sopivasta merkist,voit muuttaa itsesi ananakseksi koiraksi tai hahmoksi joka sopisi roy lichtensteinin maalaukseen,-0.28619497071378397,34.2,5
1,Also shot were three men: two 29-year-olds and one 32-year old.,my s ammuttiin kolm miest kaksi vuotiaita ja yksi vuotia,my s kolmea miest ammuttiin kahta vuotiasta ja yht vuotiasta,0.547076427150851,58.4,5
2,"The information is stored at the cash registers anyway, whether you want it or not.",tiedot tallennetaan kassakoneisiin joka tapauksessa haluatko sen vai ei,tiedot kuitenkin tallentuvat kassoilla joka tapauksessa halusi sit taikka ei,1.12247582879082,74.6,5
3,Xinhua says that there were traces of hydrochlorothiazide diuretic in Xinyi’s sample from Sunday.,xinhua kertoo ett xinyin n ytteest oli sunnuntaina hydroklooritiatsididiureettia,xinhua kertoo ett xinyin sunnuntaina antamasta n ytteest olisi l ytynyt merkkej hydroklooritiatsidi nimisest diureetista,0.3830948172916901,53.6,5
4,"MacDonald, who was brought on board CBC's commentary team to provide 'color' could be heard saying: 'That little 14-year-old from China dropped the ball, baby'.",voitaisiin kuulla cbd n kommenttitiimin toimittama macdonald joka sanoi se pieni vuotia kiinasta pudotti pallon vauva,macdonaldin joka tuli cbc n selostajatiimiin tuomaan v ri kuultiin sanovan tuo pikkuinen vuotia kiinasta m hl si babi,-0.4930647745183279,32.25,4
5,"Buyers of stolen bikes are normal Finnish people, according to the police.",varastettujen polkupi r n ostajat ovat tavanomaisia suomalaisia poliisin mukaan,varastettujen py rien ostajat ovat poliisin mukaan tavallisia suomalaisia,1.51666770048069,89.2,5
6,"Salomon Koli, who raises beef cattle, has a goal of investing in even bigger a cowshed.",salomon koli joka nostaa naudanlihasta pyrkii investoimaan entist suurempaan lehm hauteen,lihanautoja kasvattavan salomon kolin tavoitteena on investoida viel isompaan navettaan,-0.632826014547161,30.3333333333333,3
7,"The news and the outrage went wide on Wednesday, with reports by The Verge and Motherboard, a day after Snapchat said it had dismantled the feature.",uutiset ja yliluonno meniv t lauantaina keskiviikkona the vergen ja emolevyn raportit p iv sen j lkeen kun snapchat sanoi ett se oli purkanut ominaisuuden,uutiset ja paheksunta levisiv t laajall keskiviikkona the vergen ja motherboardin raporttien my t p iv my hemmin snapchat sanoi lakkauttaneensa ominaisuuden,-0.439218050174114,35.6666666666667,3
8,The most recent method reform,viimeisin menetelm uudistus,tuorein ty tapojen uudistus,0.59360433556338,65.0,3
9,The girl adopted by her grandparents as a toddler and discovered by coach Aimee Boorman's mother during a field trip to the gym where Boorman was coaching has become a force.,tyt r jonka h nen isovanhempansa k yttiv t taapuisena ja jonka valmentaja aime boormanin iti l ysi kentt matkall kuntosalill jossa boorman oli valmennus on tullut voima,t st tyt st jonka h nen isovanhempansa adoptoivat taaperona ja jonka valmentaja aime boormanin iti l ysi kun tytt oli opintomatkalla salilla jossa boorman valmensi on tullut voimatekij,-0.17387332352742998,44.0,3
10,The bombs in Thai tourist paradise were hidden in flower pots - horrified tourists escaped,thai matkailualueen pommit piilotettiin kukkaruukkuihin kauhistuneita turisteja pakeni,thaimaan turistiparatiisin pommit oli piilotettu kukkaruukkuihin turistit pakenivat kauhuissaan,0.941430768401866,69.4,5
11,"The complaints are many, covering everything from land use to the governing coalition's stranglehold on power.",valitukset ovat moninaisia kattaen kaiken maank yt st hallitusten liittoutuneill vallan kuristukseen,valitukset ovat moninaisia ja kattavat kaiken maank yt st hallitsevan koalit vallan kuristusotteeseen,0.7319485763472521,69.0,3
12,"At their peak spin rates, these maturing stars eject large amounts of stellar wind.",korkeimmilla py rimisnopeuksillaan n m kypsyv t t hdet tuovat esiin suuria m ri t htih v,huippupi rimisnopeudellaan n m aikuistuvat t hdet sy ksev t suuria m ri t htituulta,0.15672382393339998,46.8,5
13,"Two of the men were rescued by a local fishing boat, while the third man, aged 60, was found exhausted and clinging to a buoy without a lifejacket.",kaksi miest pelastettiin paikallisella kalastusaluksella kun taa kolma mie vuotia oli kadonnut ja kiinnittynyt poijuun ilman pelastusliivett,paikallinen kalastusven pelasti kaksi miehist ja kolma vuotia mie l ytyi uupuneena roikkumassa poijusta ilman pelastusliivej,0.5638444769537889,59.0,5
14,The head of the Commanding Officers is an Inspector in Lahti.,hallituksen p llikk on lahden tarkastaja,p llyst esimiehen toimii komisario lahdessa,-0.605016843463348,39.3333333333333,3
15,"Amid the Fury of the Olympics, the Zen of the Trampoline",olympialaisten raivoissa trampoliinin zenissa,trampoliinin rauhaa olympialaisvimman keskel,-0.20525289233091296,41.5,4
16,"The director, Earl Phillip, ""produced a pistol, put his right index finger on the trigger, and drove the barrel into Vincent's knee cap,"" Bordini said in the complaint.",ohjaaja earl phillip tuotti pistoolin laittoi oikean etusormensa laukaisijall ja ajoi tynnyrin vincentin polvisuojukseen bordini sanoi valituksessaan,p llikk earl phillip otti esiin pistoolin laittoi oikean etusormensa liipaisimell ja ty nsi piipun vincentin polvilumpiota vasten bordini sanoi kanteessa,-0.120372186168338,39.2,5
17,Forward motion is not the goal.,etenemisliik ei ole tavoit,tavoitteena ei ole liikkua eteenp in,0.880690400956278,67.1666666666667,6
18,"The work days can be long, from eight to ten hours, but the active work sections only last from ten minutes to a couple of hours.",ty p iv t voivat olla pitki kahdeksasta kymmeneen tuntiin mutta aktiiviset ty osat kest v t vain kymmenest minuutista muutaman tunnin,ty p iv t voivat olla pitki kin kahdeksasta kymmeneen tuntiin mutta aktiiviset ty osuudet kest v t vain kymmenest minuutista pariin tuntiin,1.0234057111908499,75.25,4
19,"Those who acquire a Guardianship get the exact co-ordinates of their Greenspace, which makes it possible for example to visit the area.",henkivakuutuksen hankkijat saavat tarkat koordinaatit greenspac tilin mik mahdollistaa esimerkiksi vierailun alueell,hallintaoikeuden hankkinut saa lohkostaan tarkat sijaintitiedot mik mahdollistaa esimerkiksi vierailun lohkolla,-0.639410349326679,31.3333333333333,3
20,"Within days, Pokémon Go had more users than Tinder and nearly as many as Twitter.",p ivien kuluessa pok mon goilla oli enemm n k ytt ji kuin tinder ja l hes yht monta kuin twitter,vain p iviss pok mon golla oli k ytt ji enemm n kuin tinderil ja l hes yht paljon kuin twitteril,0.8774150468260041,83.6666666666667,3
21,"Two jockeys have reached the milestone in jump racing - champion jockey Richard Johnson and retired 20-time champion Sir Anthony McCoy, who had more than 4,300 victories in a record-breaking career.",kaksi jockeyta on saavuttanut virstanpylv m n hyppyurheilussa mestari jockey richard johnson ja el kkeell oleva kertainen mestari sir anthoni mccoy jolla oli yli voittoa enn tyksellisess urassa,kaksi kilparatsastajaa ovat saavuttaneet t m n virstanpylv n estekilpailuissa mestarijockey richard johnson ja el k itynyt kertainen mestari sir anthoni mccoy jolla oli enn tyksi rikkovalla urallaan yli voittoa,0.9628829520087492,86.0,3
22,It's been a fantastic three years back with Helen and Robin.,se on ollut fantastinen kolm vuotta takaisin helen ja robin,kuluneet kolm vuotta helenin ja robin kanssa ovat olleet mahtavia,-0.300500680723522,36.0,4
23,Monday’s story about Helen Skelton (on the right) is one of the most read ones on the Iltalehti website this week.,maanantai tarina helen skeltonista oikealla on yksi t ll viikolla iltalehden verkkosivuilla lukeneista,helen skeltonista oik maanantaina tehti juttu on t m n viikon luetuimpia iltalehden verkkosivuilla,-0.5234099096975271,30.75,4
24,"One last test awaited in Brazil, a contest not so much between Biles and the rest of the field but between herself and the burden of oversized expectations.",viimeinen testi odotettiin brasiliassa kilpailu ei ole niin paljon bilesin ja muun kent n v lill vaan v lill itsen ja ylimitoitettujen odotusten taaks,viimeinen koe odotti brasiliassa kilpailu joka ei ollut niink n bile ja muiden kilpailijoiden v lill vaan h nen ja ylisuurien odotusten taakan v lill,0.19901499334396802,53.6666666666667,3
25,Nothing will stop Phelps - won a historical gold in a show style,mik n ei pys yt phelpsia voitti historiallisen kultaa showstyleiss,phelpsi ei pys yt mik n historiallinen kulta tuli n yt styyliin,-0.16172696208860998,56.0,2
26,"Ethiopia's new prime minister, Hailemariam Desalegn, was plucked from relative obscurity to fill Mr. Meles's shoes.",etiopian uusi p ministeri hailemariam desalegn karkotti suhteellisen h m rtyneisyyten t ytt m n herra melesin keng t,etiopian uusi p ministeri hailemariam desalegn poimittiin suhteellisen tuntemattomana t ytt m n mele n saappaat,-1.0966649722358,29.0,1
27,The hearing of the Muhos foster home case continues at the Court of Appeal for both sentenced persons.,muhosin homotyyppisen tapauksen kuuleminen jatkuu valituslautakunnassa molempien tuomittujen osalta,muhoksen perhekotisurman puinti jatkuu hovissa molempien tuomittujen osalta,-0.9509413661687092,21.0,2
28,"""Hillary Clinton and Tim Kaine continue to set the standard for financial transparency,"" Clinton campaign aide Jennifer Palmieri said in a statement.",hillari clinton ja tim kain jatkavat rahoitusn kemyksen asettamista clintonin kampanja avustava jennif palmieri sanoi lausunnossaan,hillari clinton ja tim kain asettavat mittapuun taloudellisell l pin kyvyydell clintonin kampanja avustaja jennif palmieri sanoi lausunnossa,-0.47583614863630197,34.0,1
29,The clarification raised new questions about the Republican presidential nominee's ability to communicate clearly to the American public.,selvenni her tti uusia kysymyksi republikaanisen presidentin ehdokkaan kyvyst viesti selk sti amerikkalaisell ylei lle,selviti her tti uusia kysymyksi republikaanien presidenttiehdokkaan kyvyst kommunikoida selk sti amerikkalaisylei lle,0.333840174534487,50.0,1
30,"Now she's back on coffee, although that day, instead of her usual iced coffee, she went with a blended chai drink, another new addition.",nyt h n palaa kahviin vaikka se p iv sen sijaan ett h n oli tavallinen j kaappi h n meni sekoitettu chai juoma toinen uusi lis ys,nyt h n on palannut kahvin pariin vaikkakin tuona p iv n h n tilasi tavallisen j kahvinsa sijaan sekoitetun chai juoman joka on yksi uusista lis yksist,-1.01758235360975,11.0,1
31,"Even on the television side, the viewers are divided between TV2 and Yle Fem channels.",televisiopuolella katsojat jakautuvat my s tv n ja yle femin kanavien v lill,televis puolellakin katsojat jakaantuvat tv n ja yle fem kanavill,1.29262105369591,98.0,1
32,Criminal Minds star Thomas Gibson sacked after hitting producer,crimin mindsin t hti thoma gibson purettiin sen j lkeen kun h n osui tuottajaan,crimin mind t hti thoma gibson sai kenk ly ty n tuottajaa,0.154978642772735,42.0,1
33,"An average forest owner is not able to piece it together, says Hakkarainen.",keskim r inen met nomistaja ei pysti kokoamaan sit yhteen hakkarainen sanoo,keskiverto met nomistaja ei kyken sit hahmottamaan hakkarainen sanoo,0.4615650446761861,74.0,1
34,This latest protest comes just days after protesters took to the streets en masse to support suspended President Dilma Rousseff as the country's senate voted for her impeachment.,t m viimeisin protestio tule vain muutaman p iv n kuluttua kun mielenosoittajat l htiv t katuja paljolti tukemaan presidentti dilma rousseffia koska maan senaatti nesti h nen vetoomuksensa puolesta,t m viimeisin mielenosoitus tapahtui vain p ivi sen j lkeen kun mielenosoittajat l htiv t liikkeell yhten joukkona tukeakseen virasta pid tetti presidentti dilma rousseffia maan senaatin nest ess h nen virkasyytteest n,0.630885318205847,55.0,1
35,"Normally only native Fijians are interested in rugby, but this game brought our multicultural community together.",normaalisti vain nativ fijian ovat kiinnostuneita rugbi mutta t m peli toi monikulttuurisen yhtei n yhdess,normaalisti vain natiivit fid il iset ovat kiinnostuneita rugbysta mutta t m peli yhdisti monikulttuurisen yhtei mme,-0.613793679080753,21.0,1
36,Something that would be fascinating to watch and at the same time explain the benefits of probiotics.,jotain mik olisi kiehtovaa katsella ja samalla selitt probioottien edut,jotain jota olisi kiehtovaa katsoa ja joka samalla selitt isi probioottien etuja,1.23478852663065,76.0,1
37,"From the beginning of May, product-level purchase information will be saved in Sokos and Emotion chains.",toukokuun alusta tuotetason ostotiedot tallennetaan soko ja emot ketjuihin,toukokuun alusta alkaen tuotetason ostotietoja aletaan tallettaa soko ja emot ketjuissa,-0.000730931103896123,47.0,1
38,"According to the speculations published by The Washington Post before Clinton’s speech, Clinton was going to criticise the economic platform by Republican Donald Trump published on Monday about it “only favours millionaires like him”.",washington postin ennen clintonin puheen julkaisemia spekulaatioita clinton aikoi kritisoida maanantaina julkaistun republikaanisen donald trumpin talousalustaa siit ett se vain suosii h nelleen miljon rej,the washington post lehden ennen clintonin puhetta julkaisemien spekulaatioiden mukaan clinton aikoi arvostella republikaanien donald trumpin maanantaina julkistamaa talousohjelmaa siit ett se suosii vain t m nkaltaisia miljon rej,0.602287229610313,63.5,2
39,"Over the last two months we have been talking with the Junior Doctors Committee and have, along with the Department of Health and others, responded positively to their concerns regarding the Guardian Role and Whistleblowing.",viimeisten kahden kuukauden aikana olemm keskustelleet nuoren l k reiden komitean kanssa ja he ovat yhdess terveysministeri n ja muiden osastolla vastanneet my nteisesti huoleensa guardian rooli ja whistleblowingista,viimeisen kahden kuukauden aikana olemm keskustelleet junior doctor committe komitean kanssa ja yhdess terveysministeri n ja muiden kanssa vastanneet positiivisesti heid n huolenaiheisiinsa koskien valvonnan roolia guardian role ja ilmiantoja whistleblow,-0.12625520727398698,39.0,1
40,We could have faced a correction in any case,olisimm mahdollisesti joutuneet korjaamaan joka tapauksessa,korjausliik olisi voinut olla edess joka tapauksessa,1.53422438707772,89.0,2
41,70 special border jaegers swore their oath in Immola,erityist rajavartijaa vannotti valonsa immolassa,erikoisrajaj k ri vannoi sotilasvalan immolassa,-1.2798603629219099,12.0,2
42,"It was an unfortunate choice of words, we're sorry it happened.'",se oli valitettava valinta sanoista valitettavasti se tapahtui,kyseess oli valitettava sanavalinta olemm pahoillamm ett n in k vi,-0.439289593441502,35.0,1
43,"In recent years, the cover has certainly featured more ""celebrities who model"" than ""models who are celebrities.""",viim vuosina kansi on varmasti esitellyt enemm n julkkikset jotka mallivat kuin malleja jotka ovat julkkiksia,viim vuosina kannessa on todellakin ollut enemm n julkkiksia jotka toimivat malleina kuin malleja jotka ovat julkkiksia,-0.08306687875583199,46.5,2
44,"The issue heated up the members of the opposition, who grilled the then Minister of Finance, Alexander Stubb (Coalition), about the election promises.",asia kiihdytti opposit edustajia jotka s iv t valtiovarainministeri alexand stubbia koalitio vaalilupauksista,asia kuumensi eduskunnassa opposit edustajia jotka hiillostivat silloista valtiovarainministeri alexand stubbia kok vaalilupauksista,-0.393848879081642,29.0,1
45,He started at Verb in 2001 and was there until the end.,h n aloitti verbiss vuonna ja oli siell loppuun asti,h n aloitti verbiss vuonna ja oli siell loppuun asti,1.9362364942205301,100.0,1
46,"“Maybe this isn’t so tempting for the thieves, this doesn’t necessarily even have any hipster value”, contemplates Hirvi, who lives in Helsinki.",ehk t m ei ole niin houkutteleva varkaill sill ei v ltt m tt ole mit n hipsterin arvoa hirvi pohtii helsingiss,ehk p t m ei niink n houkuttel varkaita t ss ei v ltt m tt ole hipsteriarvoakaan helsinkil inen hirvi pohtii,1.02257261435052,75.0,1
47,Nearly 300 employees are laid off from the department store company Stockmann.,l hes ty ntekij lomautetaan stockmannin tavaratalosta,l hes ty ntekij irtisanotaan tavarataloyhti stockmannista,1.20013666693464,75.0,1
48,The team event is always the best.,joukkuetapahtuma on aina para,joukkuekilpailu on aina para,0.277634050887422,55.0,1
