,Unnamed: 0,source,reference,translation,avg-score,z-score
0,0,"Památník, důstojné pietní místo, stojí vůlí dějin prakticky v bezprostřední blízkosti proběhlé tragédie a kdokoliv chce, může se zde památce trpících a zavražděných poklonit.",the monument  a dignified piecemeal place  stands by the will of history practically in the immediate vicinity of the tragedy  and whoever wants it may bow to the memory of the sufferers and the murdered ,the memorial  a solemn place of commemoration  stands there thanks to the will of history  almost in the immediate vicinity of the tragedy  and anyone who wants to can go there to pay tribute to the memory of those who suffered and were killed ,79.07586,0.3890839
1,1,"Pracovník centra Čang Č-čung sdělil agentuře Nová Čína, že chovu pand hrozí velké riziko plynoucí z příbuzenského křížení.",centre worker zhang zu chung told the new china news agency that the breeding of the pand was at great risk from the kinship crossing ,centre worker chang chi chung told new china that panda breeding is at risk of inbreeding ,57.435112,-0.559325
2,2,"Veterináři nicméně odeberou namátkové vzorky vajec a kuřecího masa původem z Belgie, Nizozemska, Francie, Itálie, Německa a Polska, na jejichž trzích se objevily problémové značky insekticidu.",however  veterinarians take random samples of eggs and chicken meat originating in belgium  the netherlands  france  italy  germany and poland  on whose markets the problem brands of the insecticide have appeared ,however  veterinarians are taking samples of eggs and chicken meat from belgium  the netherlands  france  italy  germany and poland  countries in which products with problematic insecticides have been found on the market ,62.095947,-0.35506317
3,3,Uživatel @TheePharoah jí neustále retweetoval příspěvky na zeď.,user   theepharoah constantly retweeted her posts on the wall ,a user with the handle  theepharoah was being constantly retweeted onto her timeline ,-1.351037,-3.1356363
4,4,"Lucii bylo tehdy pouhých 19 let a rozhodně netoužila po tom, pověsit svou kariéru na hřebík.",lucia was only    at the time and certainly had no desire to hang her career on the nail ,at that time  lucie was only    years old  and she definitely did not want put the brakes on her career ,93.30429,1.012647
5,5,Je bojovník.,he s a fighter ,he s a fighter ,76.51823,0.2769953
6,6,"O tři týdny později přednesl Jokowi v Jayapuře vášnivou řeč a vyjádřil své pochopení pro rodiny obětí a slíbil, že se bude zabývat násilím v Papui.",three weeks later  jokowi delivered an impassioned speech in jayapura and expressed his sympathy for the families of the victims and promised to address the violence in papua ,three weeks later  jokowi gave an impassioned speech in jayapura  where he expressed sympathies with the victims  families and vowed to address the historic abuses in papua ,121.73982,2.2588382
7,7,"Forenzní lékařské agentura Agency's GÃ¶ransson obhajovala rozhodnutí slovy: „Obecně lze říci, že riziko nesprávného posouzení dítěte jako dospělého je malé.",forensic medical agency agency s g   ransson defended the decision with the words   in general  the risk of misassessing a child as an adult is small ,the forensic medicine agency s g ransson defended the accuracy of the tests however   in general you can say that the risk of inaccurately judging a child to be an adult is small ,93.54425,1.0231632
8,8,Původní posádka zůstala toho večera na místě spolu s helikoptérou a spolu s nimi také jednotka bezpečnostních pracovníků.,the original crew remained at the scene that evening along with the helicopter and  along with them  a unit of security personnel ,the original flight crew was with the helicopter during the event  while unit security personnel remained with the aircraft while it was the ground ,67.1369,-0.13414262
9,9,"„Věříme, že profesor Latham svou oběť znal,“ uvedl Guglielmi.",we believe professor latham knew his victim   guglielmi stated ,we believe professor latham and the victim had a relationship   guglielmi said ,103.40579,1.4553467
10,10,"O několik týdnů později se Ferrellová během večerní demonstrace seznámila s pozdější spolurežisérkou dokumentu, Sabaah Folayanovou.",weeks later  during an evening demonstration  ferrell met the later co director of the documentary  sabaah folayan ,weeks later  ferrell met sabaah folayan  one of the film s co directors  during an evening demonstration ,93.87154,1.0375066
11,11,"Společnost Madison Reed, která nyní pravidelně každý měsíc provádí průzkum mezi zaměstnanci, dokáže díky Glintu vyřešit problém do jednoho dne, uvedla Errettová.",madison reed  which now regularly carries out a survey among employees each month  can  thanks to glint  solve the problem within a day  errett said ,madison reed  which now does monthly employee surveys  has been able to take action the same day a problem is reported on glint  according to errett ,51.221954,-0.8316175
